column_names,average_rating_of_movies,no_of_unique_genres
Poster_Link,7.949300000000012,202
Series_Title,7.949300000000012,202
Released_Year,7.949300000000012,202
Certificate,7.949300000000012,202
Runtime,7.949300000000012,202
Genre,7.949300000000012,202
IMDB_Rating,7.949300000000012,202
Overview,7.949300000000012,202
Meta_score,7.949300000000012,202
Director,7.949300000000012,202
Star1,7.949300000000012,202
Star2,7.949300000000012,202
Star3,7.949300000000012,202
Star4,7.949300000000012,202
No_of_Votes,7.949300000000012,202
Gross,7.949300000000012,202
